[2026-07-07 12:47:00] === Run started: fu_cli_fedprox_spain_backbone_oral_340807 ===
[2026-07-07 12:47:00] Forking from source FL run: fl_fedprox_oral_330529
[2026-07-07 12:47:00] Forgetting: Spain_Dataset (index 0 of ['Spain_Dataset', 'Canada_Dataset', 'India_Dataset'])
[2026-07-07 12:47:00] Phase-2 mechanism: FUSED-CLI (Algorithm 1), algorithm=fedprox
[2026-07-07 12:47:04] Loaded source checkpoint (read-only) from checkpoints/fl/fl_fedprox_oral_330529/best.pt
[2026-07-07 12:47:04] Built 3 hospital train loaders in order ['Spain_Dataset', 'Canada_Dataset', 'India_Dataset'], sizes=[398, 1635, 505]
[2026-07-07 12:47:04] Running FUSED-CLI unlearning (algorithm=fedprox)...
[2026-07-07 12:47:04] Running Critical Layer Identification (one federated round, remember clients only)...
[2026-07-07 12:47:31] Selected 4 critical layers: ['layer3.0.conv1.weight', 'layer2.0.conv2.weight', 'layer3.0.conv2.weight', 'layer2.1.conv1.weight']
[2026-07-07 12:49:03] [FUSED-CLI:fedprox] Round=0, avg_r_acc=0.7470, avg_f_acc=0.8536, adapter_density=59136/1179648
[2026-07-07 12:50:32] [FUSED-CLI:fedprox] Round=1, avg_r_acc=0.7443, avg_f_acc=0.8536, adapter_density=59136/1179648
[2026-07-07 12:52:05] [FUSED-CLI:fedprox] Round=2, avg_r_acc=0.7246, avg_f_acc=0.8624, adapter_density=59136/1179648
[2026-07-07 12:53:36] [FUSED-CLI:fedprox] Round=3, avg_r_acc=0.7166, avg_f_acc=0.8624, adapter_density=59136/1179648
[2026-07-07 12:55:06] [FUSED-CLI:fedprox] Round=4, avg_r_acc=0.7189, avg_f_acc=0.8624, adapter_density=59136/1179648
[2026-07-07 12:56:37] [FUSED-CLI:fedprox] Round=5, avg_r_acc=0.6802, avg_f_acc=0.8624, adapter_density=59136/1179648
[2026-07-07 12:58:08] [FUSED-CLI:fedprox] Round=6, avg_r_acc=0.6804, avg_f_acc=0.8701, adapter_density=59136/1179648
[2026-07-07 12:59:39] [FUSED-CLI:fedprox] Round=7, avg_r_acc=0.6799, avg_f_acc=0.8779, adapter_density=59136/1179648
[2026-07-07 13:01:10] [FUSED-CLI:fedprox] Round=8, avg_r_acc=0.6835, avg_f_acc=0.8779, adapter_density=59136/1179648
[2026-07-07 13:02:41] [FUSED-CLI:fedprox] Round=9, avg_r_acc=0.6662, avg_f_acc=0.8779, adapter_density=59136/1179648
[2026-07-07 13:04:11] [FUSED-CLI:fedprox] Round=10, avg_r_acc=0.6817, avg_f_acc=0.8691, adapter_density=59136/1179648
[2026-07-07 13:05:42] [FUSED-CLI:fedprox] Round=11, avg_r_acc=0.6888, avg_f_acc=0.8691, adapter_density=59136/1179648
[2026-07-07 13:07:13] [FUSED-CLI:fedprox] Round=12, avg_r_acc=0.6698, avg_f_acc=0.8691, adapter_density=59136/1179648
[2026-07-07 13:08:44] [FUSED-CLI:fedprox] Round=13, avg_r_acc=0.6716, avg_f_acc=0.8691, adapter_density=59136/1179648
[2026-07-07 13:10:13] [FUSED-CLI:fedprox] Round=14, avg_r_acc=0.6704, avg_f_acc=0.8691, adapter_density=59136/1179648
